pick_id,logged_date,match_date,league_code,league_name,home_team,away_team,sport,metric,scope,team,direction,line,confidence,label,status,actual_value,result,settled_date
Southampton|Bristol City|12/09/2026|second_half_goals|Over,2026-09-12,12/09/2026,E1,Championship,Southampton,Bristol City,,second_half_goals,,,Over,0.5,0.901,,settled,4,hit,2026-09-15
Blackpool|Bromley|12/09/2026|second_half_goals|Over,2026-09-12,12/09/2026,E2,League One,Blackpool,Bromley,,second_half_goals,,,Over,0.5,0.901,,settled,1,hit,2026-09-15
Sheffield United|Wolves|13/09/2026|goals|Over,2026-09-13,13/09/2026,E1,Championship,Sheffield United,Wolves,,goals,,,Over,1.5,0.944,,settled,1,miss,2026-09-15
Man United|Man City|13/09/2026|goals|Over,2026-09-13,13/09/2026,E0,Premier League,Man United,Man City,,goals,,,Over,1.5,0.937,,settled,1,miss,2026-09-15
Torino|Roma|13/09/2026|goals|Over,2026-09-13,13/09/2026,I1,Serie A,Torino,Roma,,goals,,,Over,1.5,0.918,,settled,2,hit,2026-09-15
Sheffield United|Wolves|13/09/2026|first_half_goals|Over,2026-09-13,13/09/2026,E1,Championship,Sheffield United,Wolves,,first_half_goals,,,Over,0.5,0.958,,settled,0,miss,2026-09-15
Man United|Man City|13/09/2026|second_half_goals|Over,2026-09-13,13/09/2026,E0,Premier League,Man United,Man City,,second_half_goals,,,Over,0.5,0.982,,settled,1,hit,2026-09-15
Torino|Roma|13/09/2026|second_half_goals|Over,2026-09-13,13/09/2026,I1,Serie A,Torino,Roma,,second_half_goals,,,Over,0.5,0.968,,settled,1,hit,2026-09-15
Como|Parma|13/09/2026|team_win|Como,2026-09-13,13/09/2026,I1,Serie A,Como,Parma,,team_win,,,Como,,0.78,,settled,Como,hit,2026-09-15
Inter|Udinese|14/09/2026|goals|Over,2026-09-14,14/09/2026,I1,Serie A,Inter,Udinese,,goals,,,Over,1.5,0.924,,settled,8,hit,2026-09-15
Inter|Udinese|14/09/2026|second_half_goals|Over,2026-09-14,14/09/2026,I1,Serie A,Inter,Udinese,,second_half_goals,,,Over,0.5,0.96,,settled,4,hit,2026-09-15
