Round Number,Date,Location,Home Team,Away Team,Result
22,03/01/2027 14:30,The Marbill Coaches Stadium,St. Mirren,Aberdeen,
23,09/01/2027 15:00,Pittodrie Stadium,Aberdeen,Heart of Midlothian,
23,09/01/2027 15:00,Celtic Park,Celtic,Dundee,
23,09/01/2027 15:00,CalForth Construction Arena at Tannadice Park,Dundee United,Rangers,
23,09/01/2027 15:00,Easter Road Stadium,Hibernian,Motherwell,
23,09/01/2027 15:00,The BBSP Stadium Rugby Park,Kilmarnock,St. Mirren,
23,09/01/2027 15:00,McDiarmid Park,St. Johnstone,Falkirk,
24,23/01/2027 15:00,Dens Park,Dundee,Aberdeen,
24,23/01/2027 15:00,The Falkirk Stadium,Falkirk,Heart of Midlothian,
24,23/01/2027 15:00,Easter Road Stadium,Hibernian,Kilmarnock,
24,23/01/2027 15:00,Fir Park,Motherwell,Dundee United,
24,23/01/2027 15:00,Ibrox Stadium,Rangers,St. Johnstone,
24,23/01/2027 15:00,The Marbill Coaches Stadium,St. Mirren,Celtic,
25,30/01/2027 15:00,Pittodrie Stadium,Aberdeen,Rangers,
25,30/01/2027 15:00,Celtic Park,Celtic,Falkirk,
25,30/01/2027 15:00,Dens Park,Dundee,Hibernian,
25,30/01/2027 15:00,Tynecastle Park,Heart of Midlothian,St. Mirren,
25,30/01/2027 15:00,The BBSP Stadium Rugby Park,Kilmarnock,Motherwell,
25,30/01/2027 15:00,McDiarmid Park,St. Johnstone,Dundee United,
26,03/02/2027 19:45,Pittodrie Stadium,Aberdeen,Falkirk,
26,03/02/2027 19:45,CalForth Construction Arena at Tannadice Park,Dundee United,Hibernian,
26,03/02/2027 19:45,Tynecastle Park,Heart of Midlothian,Dundee,
26,03/02/2027 19:45,Fir Park,Motherwell,Celtic,
26,03/02/2027 19:45,Ibrox Stadium,Rangers,Kilmarnock,
26,03/02/2027 19:45,The Marbill Coaches Stadium,St. Mirren,St. Johnstone,
27,13/02/2027 15:00,Celtic Park,Celtic,Heart of Midlothian,
27,13/02/2027 15:00,Dens Park,Dundee,St. Johnstone,
27,13/02/2027 15:00,The Falkirk Stadium,Falkirk,Rangers,
27,13/02/2027 15:00,Easter Road Stadium,Hibernian,Aberdeen,
27,13/02/2027 15:00,The BBSP Stadium Rugby Park,Kilmarnock,Dundee United,
27,13/02/2027 15:00,The Marbill Coaches Stadium,St. Mirren,Motherwell,
28,20/02/2027 15:00,CalForth Construction Arena at Tannadice Park,Dundee United,Aberdeen,
28,20/02/2027 15:00,The Falkirk Stadium,Falkirk,Dundee,
28,20/02/2027 15:00,Easter Road Stadium,Hibernian,Celtic,
28,20/02/2027 15:00,Fir Park,Motherwell,Heart of Midlothian,
28,20/02/2027 15:00,Ibrox Stadium,Rangers,St. Mirren,
28,20/02/2027 15:00,McDiarmid Park,St. Johnstone,Kilmarnock,
29,27/02/2027 15:00,Pittodrie Stadium,Aberdeen,St. Johnstone,
29,27/02/2027 15:00,Celtic Park,Celtic,Rangers,
29,27/02/2027 15:00,Dens Park,Dundee,Kilmarnock,
29,27/02/2027 15:00,Tynecastle Park,Heart of Midlothian,Dundee United,
29,27/02/2027 15:00,Fir Park,Motherwell,Falkirk,
29,27/02/2027 15:00,The Marbill Coaches Stadium,St. Mirren,Hibernian,
30,13/03/2027 15:00,Pittodrie Stadium,Aberdeen,St. Mirren,
30,13/03/2027 15:00,CalForth Construction Arena at Tannadice Park,Dundee United,Dundee,
30,13/03/2027 15:00,Easter Road Stadium,Hibernian,Falkirk,
30,13/03/2027 15:00,The BBSP Stadium Rugby Park,Kilmarnock,Heart of Midlothian,
30,13/03/2027 15:00,Ibrox Stadium,Rangers,Motherwell,
30,13/03/2027 15:00,McDiarmid Park,St. Johnstone,Celtic,
31,20/03/2027 15:00,Celtic Park,Celtic,Aberdeen,
31,20/03/2027 15:00,Dens Park,Dundee,Motherwell,
31,20/03/2027 15:00,The Falkirk Stadium,Falkirk,Kilmarnock,
