season,week,game_id,team,opponent,venue,points_for,points_against,passing_tds_for,passing_tds_against,rushing_tds_for,rushing_tds_against
2025,13,2025_13_BUF_PIT,BUF,PIT,A,26.0,7.0,1,0,1,1
2025,13,2025_13_BUF_PIT,PIT,BUF,H,7.0,26.0,0,1,1,1
2025,13,2025_13_LA_CAR,CAR,LA,H,31.0,28.0,3,2,0,2
2025,13,2025_13_LA_CAR,LA,CAR,A,28.0,31.0,2,3,2,0
2025,13,2025_13_CHI_PHI,CHI,PHI,A,24.0,15.0,1,2,2,0
2025,13,2025_13_CHI_PHI,PHI,CHI,H,15.0,24.0,2,1,0,2
2025,13,2025_13_SF_CLE,CLE,SF,H,8.0,26.0,1,1,0,2
2025,13,2025_13_SF_CLE,SF,CLE,A,26.0,8.0,1,1,2,0
2025,13,2025_13_KC_DAL,DAL,KC,H,31.0,28.0,2,4,1,0
2025,13,2025_13_KC_DAL,KC,DAL,A,28.0,31.0,4,2,0,1
2025,13,2025_13_DEN_WAS,DEN,WAS,A,27.0,26.0,1,2,2,1
2025,13,2025_13_DEN_WAS,WAS,DEN,H,26.0,27.0,2,1,1,2
2025,13,2025_13_GB_DET,DET,GB,H,24.0,31.0,2,4,1,0
2025,13,2025_13_GB_DET,GB,DET,A,31.0,24.0,4,2,0,1
2025,13,2025_13_HOU_IND,HOU,IND,A,20.0,16.0,0,2,2,0
2025,13,2025_13_HOU_IND,IND,HOU,H,16.0,20.0,2,0,0,2
2025,13,2025_13_JAX_TEN,JAX,TEN,A,25.0,3.0,2,0,1,0
2025,13,2025_13_JAX_TEN,TEN,JAX,H,3.0,25.0,0,2,0,1
2025,13,2025_13_LV_LAC,LAC,LV,H,31.0,14.0,2,2,2,0
2025,13,2025_13_LV_LAC,LV,LAC,A,14.0,31.0,2,2,0,2
2025,13,2025_13_NO_MIA,MIA,NO,H,21.0,17.0,0,2,1,0
2025,13,2025_13_NO_MIA,NO,MIA,A,17.0,21.0,2,0,0,1
2025,13,2025_13_MIN_SEA,MIN,SEA,A,0.0,26.0,0,0,0,1
2025,13,2025_13_MIN_SEA,SEA,MIN,H,26.0,0.0,0,0,1,0
2025,13,2025_13_NYG_NE,NE,NYG,H,33.0,15.0,2,1,0,1
2025,13,2025_13_NYG_NE,NYG,NE,A,15.0,33.0,1,2,1,0
2025,14,2025_14_LA_ARI,ARI,LA,H,17.0,45.0,2,3,0,3
2025,14,2025_14_LA_ARI,LA,ARI,A,45.0,17.0,3,2,3,0
2025,14,2025_14_SEA_ATL,ATL,SEA,H,9.0,37.0,0,3,0,0
2025,14,2025_14_SEA_ATL,SEA,ATL,A,37.0,9.0,3,0,0,0
2025,14,2025_14_PIT_BAL,BAL,PIT,H,22.0,27.0,1,1,1,2
2025,14,2025_14_PIT_BAL,PIT,BAL,A,27.0,22.0,1,1,2,1
2025,14,2025_14_CIN_BUF,BUF,CIN,H,39.0,34.0,3,4,1,1
2025,14,2025_14_CIN_BUF,CIN,BUF,A,34.0,39.0,4,3,1,1
2025,14,2025_14_CHI_GB,CHI,GB,A,21.0,28.0,2,3,0,1
2025,14,2025_14_CHI_GB,GB,CHI,H,28.0,21.0,3,2,1,0
2025,14,2025_14_TEN_CLE,CLE,TEN,H,29.0,31.0,3,2,1,2
2025,14,2025_14_TEN_CLE,TEN,CLE,A,31.0,29.0,2,3,2,1
2025,14,2025_14_DAL_DET,DAL,DET,A,30.0,44.0,1,1,1,4
2025,14,2025_14_DAL_DET,DET,DAL,H,44.0,30.0,1,1,4,1
2025,14,2025_14_DEN_LV,DEN,LV,A,24.0,17.0,0,2,2,0
2025,14,2025_14_DEN_LV,LV,DEN,H,17.0,24.0,2,0,0,2
2025,14,2025_14_HOU_KC,HOU,KC,A,20.0,10.0,1,0,1,1
2025,14,2025_14_HOU_KC,KC,HOU,H,10.0,20.0,0,1,1,1
2025,14,2025_14_IND_JAX,IND,JAX,A,19.0,36.0,0,2,2,2
2025,14,2025_14_IND_JAX,JAX,IND,H,36.0,19.0,2,0,2,2
2025,14,2025_14_PHI_LAC,LAC,PHI,H,22.0,19.0,1,0,0,1
2025,14,2025_14_PHI_LAC,PHI,LAC,A,19.0,22.0,0,1,1,0
2025,14,2025_14_MIA_NYJ,MIA,NYJ,A,34.0,10.0,1,0,3,0
2025,14,2025_14_MIA_NYJ,NYJ,MIA,H,10.0,34.0,0,1,0,3
2025,14,2025_14_WAS_MIN,MIN,WAS,H,31.0,0.0,3,0,1,0
2025,14,2025_14_WAS_MIN,WAS,MIN,A,0.0,31.0,0,3,0,1
2025,14,2025_14_NO_TB,NO,TB,A,24.0,20.0,0,1,3,1
2025,14,2025_14_NO_TB,TB,NO,H,20.0,24.0,1,0,1,3
2025,15,2025_15_ARI_HOU,ARI,HOU,A,20.0,40.0,3,3,0,0
2025,15,2025_15_ARI_HOU,HOU,ARI,H,40.0,20.0,3,3,0,0
2025,15,2025_15_ATL_TB,ATL,TB,A,29.0,28.0,3,2,1,1
2025,15,2025_15_ATL_TB,TB,ATL,H,28.0,29.0,2,3,1,1
2025,15,2025_15_BAL_CIN,BAL,CIN,A,24.0,0.0,2,0,0,0
2025,15,2025_15_BAL_CIN,CIN,BAL,H,0.0,24.0,0,2,0,0
2025,15,2025_15_BUF_NE,BUF,NE,A,35.0,31.0,3,0,2,4
2025,15,2025_15_BUF_NE,NE,BUF,H,31.0,35.0,0,3,4,2
2025,15,2025_15_CAR_NO,CAR,NO,A,17.0,20.0,1,1,1,1
2025,15,2025_15_CAR_NO,NO,CAR,H,20.0,17.0,1,1,1,1
2025,15,2025_15_CLE_CHI,CHI,CLE,H,31.0,3.0,2,0,2,0
2025,15,2025_15_CLE_CHI,CLE,CHI,A,3.0,31.0,0,2,0,2
2025,15,2025_15_MIN_DAL,DAL,MIN,H,26.0,34.0,0,2,2,2
2025,15,2025_15_MIN_DAL,MIN,DAL,A,34.0,26.0,2,0,2,2
2025,15,2025_15_GB_DEN,DEN,GB,H,34.0,26.0,4,1,1,1
2025,15,2025_15_GB_DEN,GB,DEN,A,26.0,34.0,1,4,1,1
2025,15,2025_15_DET_LA,DET,LA,A,34.0,41.0,3,2,1,3
2025,15,2025_15_DET_LA,LA,DET,H,41.0,34.0,2,3,3,1
2025,15,2025_15_IND_SEA,IND,SEA,A,16.0,18.0,1,0,0,0
2025,15,2025_15_IND_SEA,SEA,IND,H,18.0,16.0,0,1,0,0
2025,15,2025_15_NYJ_JAX,JAX,NYJ,H,48.0,20.0,5,1,1,1
2025,15,2025_15_NYJ_JAX,NYJ,JAX,A,20.0,48.0,1,5,1,1
2025,15,2025_15_LAC_KC,KC,LAC,H,13.0,16.0,0,1,1,0
2025,15,2025_15_LAC_KC,LAC,KC,A,16.0,13.0,1,0,0,1
2025,15,2025_15_LV_PHI,LV,PHI,A,0.0,31.0,0,3,0,1
2025,15,2025_15_LV_PHI,PHI,LV,H,31.0,0.0,3,0,1,0
2025,15,2025_15_MIA_PIT,MIA,PIT,A,15.0,28.0,2,2,0,2
2025,15,2025_15_MIA_PIT,PIT,MIA,H,28.0,15.0,2,2,2,0
2025,15,2025_15_WAS_NYG,NYG,WAS,H,21.0,29.0,2,1,1,1
2025,15,2025_15_WAS_NYG,WAS,NYG,A,29.0,21.0,1,2,1,1
2025,15,2025_15_TEN_SF,SF,TEN,H,37.0,24.0,3,2,1,1
2025,15,2025_15_TEN_SF,TEN,SF,A,24.0,37.0,2,3,1,1
2025,16,2025_16_ATL_ARI,ARI,ATL,H,19.0,26.0,1,2,0,1
2025,16,2025_16_ATL_ARI,ATL,ARI,A,26.0,19.0,2,1,1,0
2025,16,2025_16_NE_BAL,BAL,NE,H,24.0,28.0,0,2,3,1
2025,16,2025_16_NE_BAL,NE,BAL,A,28.0,24.0,2,0,1,3
2025,16,2025_16_BUF_CLE,BUF,CLE,A,23.0,20.0,0,1,3,1
2025,16,2025_16_BUF_CLE,CLE,BUF,H,20.0,23.0,1,0,1,3
2025,16,2025_16_TB_CAR,CAR,TB,H,23.0,20.0,2,1,0,1
2025,16,2025_16_TB_CAR,TB,CAR,A,20.0,23.0,1,2,1,0
2025,16,2025_16_GB_CHI,CHI,GB,H,22.0,16.0,2,1,0,0
2025,16,2025_16_GB_CHI,GB,CHI,A,16.0,22.0,1,2,0,0
2025,16,2025_16_CIN_MIA,CIN,MIA,A,45.0,21.0,4,0,2,3
2025,16,2025_16_CIN_MIA,MIA,CIN,H,21.0,45.0,0,4,3,2
2025,16,2025_16_LAC_DAL,DAL,LAC,H,17.0,34.0,2,2,0,2
2025,16,2025_16_LAC_DAL,LAC,DAL,A,34.0,17.0,2,2,2,0
2025,16,2025_16_JAX_DEN,DEN,JAX,H,20.0,34.0,1,3,1,1
2025,16,2025_16_JAX_DEN,JAX,DEN,A,34.0,20.0,3,1,1,1
2025,16,2025_16_PIT_DET,DET,PIT,H,24.0,29.0,3,1,0,2
2025,16,2025_16_PIT_DET,PIT,DET,A,29.0,24.0,1,3,2,0
2025,16,2025_16_LV_HOU,HOU,LV,H,23.0,21.0,1,2,0,1
2025,16,2025_16_LV_HOU,LV,HOU,A,21.0,23.0,2,1,1,0
2025,16,2025_16_SF_IND,IND,SF,H,27.0,48.0,2,5,1,0
2025,16,2025_16_SF_IND,SF,IND,A,48.0,27.0,5,2,0,1
2025,16,2025_16_KC_TEN,KC,TEN,A,9.0,26.0,0,2,0,1
2025,16,2025_16_KC_TEN,TEN,KC,H,26.0,9.0,2,0,1,0
2025,16,2025_16_LA_SEA,LA,SEA,A,37.0,38.0,3,2,1,2
2025,16,2025_16_LA_SEA,SEA,LA,H,38.0,37.0,2,3,2,1
2025,16,2025_16_MIN_NYG,MIN,NYG,A,16.0,13.0,0,0,1,0
2025,16,2025_16_MIN_NYG,NYG,MIN,H,13.0,16.0,0,0,0,1
2025,16,2025_16_NYJ_NO,NO,NYJ,H,29.0,6.0,2,0,0,0
2025,16,2025_16_NYJ_NO,NYJ,NO,A,6.0,29.0,0,2,0,0
2025,16,2025_16_PHI_WAS,PHI,WAS,A,29.0,18.0,2,0,2,2
2025,16,2025_16_PHI_WAS,WAS,PHI,H,18.0,29.0,0,2,2,2
2025,17,2025_17_ARI_CIN,ARI,CIN,A,14.0,37.0,2,2,0,3
2025,17,2025_17_ARI_CIN,CIN,ARI,H,37.0,14.0,2,2,3,0
2025,17,2025_17_LA_ATL,ATL,LA,H,27.0,24.0,1,2,1,0
2025,17,2025_17_LA_ATL,LA,ATL,A,24.0,27.0,2,1,0,1
2025,17,2025_17_BAL_GB,BAL,GB,A,41.0,24.0,1,1,4,2
2025,17,2025_17_BAL_GB,GB,BAL,H,24.0,41.0,1,1,2,4
2025,17,2025_17_PHI_BUF,BUF,PHI,H,12.0,13.0,0,1,2,0
2025,17,2025_17_PHI_BUF,PHI,BUF,A,13.0,12.0,1,0,0,2
2025,17,2025_17_SEA_CAR,CAR,SEA,H,10.0,27.0,0,1,1,2
2025,17,2025_17_SEA_CAR,SEA,CAR,A,27.0,10.0,1,0,2,1
2025,17,2025_17_CHI_SF,CHI,SF,A,38.0,42.0,2,3,2,3
2025,17,2025_17_CHI_SF,SF,CHI,H,42.0,38.0,3,2,3,2
2025,17,2025_17_PIT_CLE,CLE,PIT,H,13.0,6.0,1,0,0,0
2025,17,2025_17_PIT_CLE,PIT,CLE,A,6.0,13.0,0,1,0,0
2025,17,2025_17_DAL_WAS,DAL,WAS,A,30.0,23.0,2,0,1,2
2025,17,2025_17_DAL_WAS,WAS,DAL,H,23.0,30.0,0,2,2,1
2025,17,2025_17_DEN_KC,DEN,KC,A,20.0,13.0,1,1,1,0
2025,17,2025_17_DEN_KC,KC,DEN,H,13.0,20.0,1,1,0,1
2025,17,2025_17_DET_MIN,DET,MIN,A,10.0,23.0,1,0,0,2
2025,17,2025_17_DET_MIN,MIN,DET,H,23.0,10.0,0,1,2,0
2025,17,2025_17_HOU_LAC,HOU,LAC,A,20.0,16.0,2,1,0,1
2025,17,2025_17_HOU_LAC,LAC,HOU,H,16.0,20.0,1,2,1,0
2025,17,2025_17_JAX_IND,IND,JAX,H,17.0,23.0,1,0,1,2
2025,17,2025_17_JAX_IND,JAX,IND,A,23.0,17.0,0,1,2,1
2025,17,2025_17_NYG_LV,LV,NYG,H,10.0,34.0,1,0,0,3
2025,17,2025_17_NYG_LV,NYG,LV,A,34.0,10.0,0,1,3,0
2025,17,2025_17_TB_MIA,MIA,TB,H,20.0,17.0,2,2,0,0
2025,17,2025_17_TB_MIA,TB,MIA,A,17.0,20.0,2,2,0,0
2025,17,2025_17_NE_NYJ,NE,NYJ,A,42.0,10.0,5,0,1,1
2025,17,2025_17_NE_NYJ,NYJ,NE,H,10.0,42.0,0,5,1,1
2025,17,2025_17_NO_TEN,NO,TEN,A,34.0,26.0,2,2,1,0
2025,17,2025_17_NO_TEN,TEN,NO,H,26.0,34.0,2,2,0,1
2025,18,2025_18_ARI_LA,ARI,LA,A,20.0,37.0,2,4,0,0
2025,18,2025_18_ARI_LA,LA,ARI,H,37.0,20.0,4,2,0,0
2025,18,2025_18_NO_ATL,ATL,NO,H,19.0,17.0,1,1,0,1
2025,18,2025_18_NO_ATL,NO,ATL,A,17.0,19.0,1,1,1,0
2025,18,2025_18_BAL_PIT,BAL,PIT,A,24.0,26.0,3,1,0,2
2025,18,2025_18_BAL_PIT,PIT,BAL,H,26.0,24.0,1,3,2,0
2025,18,2025_18_NYJ_BUF,BUF,NYJ,H,35.0,8.0,4,1,1,0
2025,18,2025_18_NYJ_BUF,NYJ,BUF,A,8.0,35.0,1,4,0,1
2025,18,2025_18_CAR_TB,CAR,TB,A,14.0,16.0,2,1,0,0
2025,18,2025_18_CAR_TB,TB,CAR,H,16.0,14.0,1,2,0,0
2025,18,2025_18_DET_CHI,CHI,DET,H,16.0,19.0,2,1,0,0
2025,18,2025_18_DET_CHI,DET,CHI,A,19.0,16.0,1,2,0,0
2025,18,2025_18_CLE_CIN,CIN,CLE,H,18.0,20.0,3,0,0,0
2025,18,2025_18_CLE_CIN,CLE,CIN,A,20.0,18.0,0,3,0,0
2025,18,2025_18_DAL_NYG,DAL,NYG,A,17.0,34.0,0,2,2,1
2025,18,2025_18_DAL_NYG,NYG,DAL,H,34.0,17.0,2,0,1,2
2025,18,2025_18_LAC_DEN,DEN,LAC,H,19.0,3.0,0,0,0,0
2025,18,2025_18_LAC_DEN,LAC,DEN,A,3.0,19.0,0,0,0,0
2025,18,2025_18_GB_MIN,GB,MIN,A,3.0,16.0,0,0,0,1
2025,18,2025_18_GB_MIN,MIN,GB,H,16.0,3.0,0,0,1,0
2025,18,2025_18_IND_HOU,HOU,IND,H,38.0,30.0,1,2,1,1
2025,18,2025_18_IND_HOU,IND,HOU,A,30.0,38.0,2,1,1,1
2025,18,2025_18_TEN_JAX,JAX,TEN,H,41.0,7.0,3,0,1,1
2025,18,2025_18_TEN_JAX,TEN,JAX,A,7.0,41.0,0,3,1,1
2025,18,2025_18_KC_LV,KC,LV,A,12.0,14.0,0,0,0,0
2025,18,2025_18_KC_LV,LV,KC,H,14.0,12.0,0,0,0,0
2025,18,2025_18_MIA_NE,MIA,NE,A,10.0,38.0,1,1,0,4
2025,18,2025_18_MIA_NE,NE,MIA,H,38.0,10.0,1,1,4,0
2025,18,2025_18_WAS_PHI,PHI,WAS,H,17.0,24.0,1,1,1,2
2025,18,2025_18_WAS_PHI,WAS,PHI,A,24.0,17.0,1,1,2,1
2025,18,2025_18_SEA_SF,SEA,SF,A,13.0,3.0,0,0,1,0
2025,18,2025_18_SEA_SF,SF,SEA,H,3.0,13.0,0,0,0,1
2026,1,2026_01_ARI_LAC,ARI,LAC,A,26.0,14.0,1,1,1,1
2026,1,2026_01_ARI_LAC,LAC,ARI,H,14.0,26.0,1,1,1,1
2026,1,2026_01_ATL_PIT,ATL,PIT,A,13.0,20.0,1,1,0,0
2026,1,2026_01_ATL_PIT,PIT,ATL,H,20.0,13.0,1,1,0,0
2026,1,2026_01_BAL_IND,BAL,IND,A,41.0,23.0,1,1,4,2
2026,1,2026_01_BAL_IND,IND,BAL,H,23.0,41.0,1,1,2,4
2026,1,2026_01_BUF_HOU,BUF,HOU,A,36.0,31.0,2,2,2,2
2026,1,2026_01_BUF_HOU,HOU,BUF,H,31.0,36.0,2,2,2,2
2026,1,2026_01_CHI_CAR,CAR,CHI,H,37.0,59.0,3,2,2,6
2026,1,2026_01_CHI_CAR,CHI,CAR,A,59.0,37.0,2,3,6,2
2026,1,2026_01_TB_CIN,CIN,TB,H,33.0,27.0,1,0,1,2
2026,1,2026_01_TB_CIN,TB,CIN,A,27.0,33.0,0,1,2,1
2026,1,2026_01_CLE_JAX,CLE,JAX,A,10.0,34.0,1,4,0,0
2026,1,2026_01_CLE_JAX,JAX,CLE,H,34.0,10.0,4,1,0,0
2026,1,2026_01_DAL_NYG,DAL,NYG,A,20.0,28.0,2,3,1,1
2026,1,2026_01_DAL_NYG,NYG,DAL,H,28.0,20.0,3,2,1,1
2026,1,2026_01_DEN_KC,DEN,KC,A,10.0,31.0,1,2,0,2
2026,1,2026_01_DEN_KC,KC,DEN,H,31.0,10.0,2,1,2,0
2026,1,2026_01_NO_DET,DET,NO,H,31.0,30.0,2,3,2,1
2026,1,2026_01_NO_DET,NO,DET,A,30.0,31.0,3,2,1,2
2026,1,2026_01_GB_MIN,GB,MIN,A,22.0,39.0,2,3,0,2
2026,1,2026_01_GB_MIN,MIN,GB,H,39.0,22.0,3,2,2,0
2026,1,2026_01_SF_LA,LA,SF,H,7.0,27.0,0,3,1,0
2026,1,2026_01_SF_LA,SF,LA,A,27.0,7.0,3,0,0,1
2026,1,2026_01_MIA_LV,LV,MIA,H,27.0,13.0,3,0,0,1
2026,1,2026_01_MIA_LV,MIA,LV,A,13.0,27.0,0,3,1,0
2026,1,2026_01_NE_SEA,NE,SEA,A,10.0,13.0,1,1,0,0
2026,1,2026_01_NE_SEA,SEA,NE,H,13.0,10.0,1,1,0,0
2026,1,2026_01_NYJ_TEN,NYJ,TEN,A,23.0,10.0,0,1,2,0
2026,1,2026_01_NYJ_TEN,TEN,NYJ,H,10.0,23.0,1,0,0,2
2026,1,2026_01_WAS_PHI,PHI,WAS,H,24.0,22.0,3,2,0,1
2026,1,2026_01_WAS_PHI,WAS,PHI,A,22.0,24.0,2,3,1,0
2026,2,2026_02_DET_BUF,BUF,DET,H,41.0,31.0,3,4,3,0
2026,2,2026_02_DET_BUF,DET,BUF,A,31.0,41.0,4,3,0,3
