Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
I1,28/09/2025,19:45,Milan,Napoli,2,1,H,2,0,H,,6,19,3,7,1,7,1,0,1,0,,,I1,2526
I1,29/09/2025,17:30,Parma,Torino,2,1,H,1,0,H,,13,15,2,4,4,3,3,3,0,0,,,I1,2526
I1,29/09/2025,19:45,Genoa,Lazio,0,3,A,0,2,A,,17,10,5,6,6,0,5,1,0,0,,,I1,2526
I1,03/10/2025,19:45,Verona,Sassuolo,0,1,A,0,0,D,,17,11,9,3,4,2,2,2,0,0,,,I1,2526
I1,04/10/2025,14:00,Lazio,Torino,3,3,D,2,1,H,,9,16,4,8,3,5,3,3,0,0,,,I1,2526
I1,04/10/2025,14:00,Parma,Lecce,0,1,A,0,1,A,,10,7,2,3,4,9,1,2,0,0,,,I1,2526
I1,04/10/2025,17:00,Inter,Cremonese,4,1,H,2,0,H,,27,3,9,2,13,1,1,1,0,0,,,I1,2526
I1,04/10/2025,19:45,Atalanta,Como,1,1,D,1,1,D,,16,12,4,4,8,3,1,3,0,0,,,I1,2526
I1,05/10/2025,11:30,Udinese,Cagliari,1,1,D,0,1,A,,23,8,4,2,7,2,1,2,0,0,,,I1,2526
I1,05/10/2025,14:00,Bologna,Pisa,4,0,H,3,0,H,,24,2,7,0,2,2,0,1,0,1,,,I1,2526
I1,05/10/2025,14:00,Fiorentina,Roma,1,2,A,1,2,A,,11,8,3,3,3,4,2,3,0,0,,,I1,2526
I1,05/10/2025,17:00,Napoli,Genoa,2,1,H,0,1,A,,12,6,5,1,7,5,1,3,0,0,,,I1,2526
I1,05/10/2025,19:45,Juventus,Milan,0,0,D,0,0,D,,12,13,3,4,6,0,2,2,0,0,,,I1,2526
I1,18/10/2025,14:00,Lecce,Sassuolo,0,0,D,0,0,D,,11,9,2,2,6,4,2,2,0,0,,,I1,2526
I1,18/10/2025,14:00,Pisa,Verona,0,0,D,0,0,D,,7,15,0,3,3,8,4,2,0,0,,,I1,2526
I1,18/10/2025,17:00,Torino,Napoli,1,0,H,1,0,H,,12,22,2,5,3,11,1,2,0,0,,,I1,2526
I1,18/10/2025,19:45,Roma,Inter,0,1,A,0,1,A,,15,12,5,3,4,5,4,3,0,0,,,I1,2526
I1,19/10/2025,11:30,Como,Juventus,2,0,H,1,0,H,,12,15,6,3,4,1,3,1,0,0,,,I1,2526
I1,19/10/2025,14:00,Cagliari,Bologna,0,2,A,0,1,A,,4,10,3,7,2,7,1,3,0,0,,,I1,2526
I1,19/10/2025,14:00,Genoa,Parma,0,0,D,0,0,D,,23,1,7,0,3,0,2,5,0,1,,,I1,2526
I1,19/10/2025,17:00,Atalanta,Lazio,0,0,D,0,0,D,,16,4,6,1,7,1,4,0,0,0,,,I1,2526
I1,19/10/2025,19:45,Milan,Fiorentina,2,1,H,0,0,D,,14,5,4,1,1,3,3,3,0,0,,,I1,2526
I1,20/10/2025,19:45,Cremonese,Udinese,1,1,D,1,0,H,,11,8,4,1,5,4,4,2,0,0,,,I1,2526
I1,24/10/2025,19:45,Milan,Pisa,2,2,D,1,0,H,,20,8,7,2,6,2,1,3,0,0,,,I1,2526
I1,25/10/2025,14:00,Parma,Como,0,0,D,0,0,D,,10,6,3,2,3,3,0,1,0,0,,,I1,2526
I1,25/10/2025,14:00,Udinese,Lecce,3,2,H,2,0,H,,8,13,4,3,4,9,2,2,0,0,,,I1,2526
I1,25/10/2025,17:00,Napoli,Inter,3,1,H,1,0,H,,7,15,3,3,1,4,2,1,0,0,,,I1,2526
I1,25/10/2025,19:45,Cremonese,Atalanta,1,1,D,0,0,D,,9,20,5,6,2,10,3,1,0,0,,,I1,2526
I1,26/10/2025,11:30,Torino,Genoa,2,1,H,0,1,A,,13,11,6,3,9,1,2,2,0,0,,,I1,2526
I1,26/10/2025,14:00,Sassuolo,Roma,0,1,A,0,1,A,,11,15,1,8,6,6,3,2,0,0,,,I1,2526
I1,26/10/2025,14:00,Verona,Cagliari,2,2,D,1,0,H,,10,7,6,3,3,2,3,4,0,0,,,I1,2526
I1,26/10/2025,17:00,Fiorentina,Bologna,2,2,D,0,1,A,,19,6,7,3,5,6,3,5,0,1,,,I1,2526
I1,26/10/2025,19:45,Lazio,Juventus,1,0,H,1,0,H,,13,14,3,5,2,5,2,4,0,0,,,I1,2526
I1,28/10/2025,17:30,Lecce,Napoli,0,1,A,0,0,D,,7,14,2,3,3,5,2,1,0,0,,,I1,2526
I1,28/10/2025,19:45,Atalanta,Milan,1,1,D,1,1,D,,17,6,3,1,9,4,1,3,0,0,,,I1,2526
I1,29/10/2025,17:30,Como,Verona,3,1,H,1,1,D,,15,13,5,9,1,3,1,4,0,0,,,I1,2526
I1,29/10/2025,17:30,Juventus,Udinese,3,1,H,1,1,D,,25,8,11,2,8,4,1,4,0,0,,,I1,2526
I1,29/10/2025,17:30,Roma,Parma,2,1,H,0,0,D,,18,8,6,5,9,2,0,3,0,0,,,I1,2526
I1,29/10/2025,19:45,Bologna,Torino,0,0,D,0,0,D,,11,8,2,2,3,3,2,3,0,0,,,I1,2526
I1,29/10/2025,19:45,Genoa,Cremonese,0,2,A,0,1,A,,16,12,1,4,7,3,3,1,0,0,,,I1,2526
I1,29/10/2025,19:45,Inter,Fiorentina,3,0,H,0,0,D,,22,10,8,2,8,5,1,2,0,1,,,I1,2526
I1,30/10/2025,17:30,Cagliari,Sassuolo,1,2,A,0,0,D,,8,12,1,4,6,7,4,4,0,0,,,I1,2526
I1,30/10/2025,19:45,Pisa,Lazio,0,0,D,0,0,D,,10,11,2,6,3,1,2,2,0,0,,,I1,2526
I1,01/11/2025,14:00,Udinese,Atalanta,1,0,H,1,0,H,,11,5,5,0,5,4,1,3,0,0,,,I1,2526
I1,01/11/2025,17:00,Napoli,Como,0,0,D,0,0,D,,13,13,8,2,4,2,3,2,0,0,,,I1,2526
I1,01/11/2025,19:45,Cremonese,Juventus,1,2,A,0,1,A,,9,15,2,5,2,3,1,0,0,0,,,I1,2526
I1,02/11/2025,11:30,Verona,Inter,1,2,A,1,1,D,,8,21,2,6,4,8,2,1,0,0,,,I1,2526
I1,02/11/2025,14:00,Fiorentina,Lecce,0,1,A,0,1,A,,15,11,4,4,4,4,4,1,0,0,,,I1,2526
I1,02/11/2025,14:00,Torino,Pisa,2,2,D,2,2,D,,15,11,3,3,4,2,2,1,0,0,,,I1,2526
I1,02/11/2025,17:00,Parma,Bologna,1,3,A,1,1,D,,7,22,1,6,1,5,3,2,1,0,,,I1,2526
I1,02/11/2025,19:45,Milan,Roma,1,0,H,1,0,H,,17,20,8,6,7,8,1,5,0,0,,,I1,2526
I1,03/11/2025,17:30,Sassuolo,Genoa,1,2,A,0,1,A,,13,16,4,5,3,7,1,3,0,0,,,I1,2526
I1,03/11/2025,19:45,Lazio,Cagliari,2,0,H,0,0,D,,8,17,3,5,7,5,0,2,0,0,,,I1,2526
I1,07/11/2025,19:45,Pisa,Cremonese,1,0,H,0,0,D,,14,13,6,3,4,5,4,2,0,0,,,I1,2526
I1,08/11/2025,14:00,Como,Cagliari,0,0,D,0,0,D,,10,4,6,2,10,0,3,1,0,0,,,I1,2526
I1,08/11/2025,14:00,Lecce,Verona,0,0,D,0,0,D,,11,5,6,2,7,2,1,4,0,0,,,I1,2526
I1,08/11/2025,17:00,Juventus,Torino,0,0,D,0,0,D,,22,8,6,3,6,2,0,1,0,0,,,I1,2526
I1,08/11/2025,19:45,Parma,Milan,2,2,D,1,2,A,,14,10,4,5,4,3,1,1,0,0,,,I1,2526
I1,09/11/2025,11:30,Atalanta,Sassuolo,0,3,A,0,1,A,,14,8,2,4,4,1,0,2,0,0,,,I1,2526
I1,09/11/2025,14:00,Bologna,Napoli,2,0,H,0,0,D,,11,4,4,1,5,4,1,3,0,0,,,I1,2526
I1,09/11/2025,14:00,Genoa,Fiorentina,2,2,D,1,1,D,,10,7,6,3,3,7,2,3,0,0,,,I1,2526
I1,09/11/2025,17:00,Roma,Udinese,2,0,H,1,0,H,,13,10,4,4,3,4,2,1,0,0,,,I1,2526
I1,09/11/2025,19:45,Inter,Lazio,2,0,H,1,0,H,,8,8,3,5,3,1,3,1,0,0,,,I1,2526
I1,22/11/2025,14:00,Cagliari,Genoa,3,3,D,2,2,D,,11,13,5,8,6,2,4,3,0,1,,,I1,2526
I1,22/11/2025,14:00,Udinese,Bologna,0,3,A,0,0,D,,12,10,3,5,7,2,0,1,0,0,,,I1,2526
I1,22/11/2025,17:00,Fiorentina,Juventus,1,1,D,0,1,A,,11,17,2,4,7,3,2,3,0,0,,,I1,2526
I1,22/11/2025,19:45,Napoli,Atalanta,3,1,H,3,0,H,,11,14,6,3,5,3,1,2,0,0,,,I1,2526
I1,23/11/2025,11:30,Verona,Parma,1,2,A,0,1,A,,10,15,2,7,4,4,4,3,0,0,,,I1,2526
I1,23/11/2025,14:00,Cremonese,Roma,1,3,A,0,1,A,,9,12,4,6,3,5,2,2,0,0,,,I1,2526
I1,23/11/2025,17:00,Lazio,Lecce,2,0,H,1,0,H,,19,5,9,1,8,2,1,1,0,0,,,I1,2526
I1,23/11/2025,19:45,Inter,Milan,0,1,A,0,0,D,,20,7,6,3,9,1,1,2,0,0,,,I1,2526
I1,24/11/2025,17:30,Torino,Como,1,5,A,1,1,D,,10,15,2,7,3,4,0,1,0,0,,,I1,2526
I1,24/11/2025,19:45,Sassuolo,Pisa,2,2,D,1,1,D,,22,10,7,3,5,2,2,1,0,0,,,I1,2526
I1,28/11/2025,19:45,Como,Sassuolo,2,0,H,1,0,H,,18,12,13,5,4,4,2,1,0,0,,,I1,2526
I1,29/11/2025,14:00,Genoa,Verona,2,1,H,1,1,D,,15,13,4,5,2,3,1,3,0,0,,,I1,2526
I1,29/11/2025,14:00,Parma,Udinese,0,2,A,0,1,A,,17,14,2,5,5,9,1,2,1,1,,,I1,2526
I1,29/11/2025,17:00,Juventus,Cagliari,2,1,H,2,1,H,,14,5,6,3,1,6,1,5,0,0,,,I1,2526
I1,29/11/2025,19:45,Milan,Lazio,1,0,H,0,0,D,,16,9,4,4,1,4,3,3,0,0,,,I1,2526
I1,30/11/2025,11:30,Lecce,Torino,2,1,H,2,0,H,,10,15,2,6,6,6,2,3,0,0,,,I1,2526
I1,30/11/2025,14:00,Pisa,Inter,0,2,A,0,0,D,,10,14,2,3,4,6,2,1,0,0,,,I1,2526
I1,30/11/2025,17:00,Atalanta,Fiorentina,2,0,H,1,0,H,,21,15,9,3,4,5,1,3,0,0,,,I1,2526
I1,30/11/2025,19:45,Roma,Napoli,0,1,A,0,1,A,,8,8,2,5,4,2,4,3,0,0,,,I1,2526
I1,01/12/2025,19:45,Bologna,Cremonese,1,3,A,1,2,A,,29,10,7,5,13,8,0,2,0,0,,,I1,2526
I1,06/12/2025,14:00,Sassuolo,Fiorentina,3,1,H,2,1,H,,13,9,5,1,7,1,2,3,0,0,,,I1,2526
I1,06/12/2025,17:00,Inter,Como,4,0,H,1,0,H,,11,15,7,3,7,4,1,2,0,0,,,I1,2526
I1,06/12/2025,19:45,Verona,Atalanta,3,1,H,2,0,H,,12,12,7,5,5,5,2,1,0,0,,,I1,2526
I1,07/12/2025,11:30,Cremonese,Lecce,2,0,H,0,0,D,,11,9,4,1,5,5,1,2,0,0,,,I1,2526
I1,07/12/2025,14:00,Cagliari,Roma,1,0,H,0,0,D,,15,6,8,2,4,1,2,1,0,1,,,I1,2526
I1,07/12/2025,17:00,Lazio,Bologna,1,1,D,1,1,D,,16,13,9,6,7,3,4,3,1,0,,,I1,2526
I1,07/12/2025,19:45,Napoli,Juventus,2,1,H,1,0,H,,9,5,4,2,9,0,2,1,0,0,,,I1,2526
I1,08/12/2025,14:00,Pisa,Parma,0,1,A,0,1,A,,14,9,2,2,6,0,2,2,1,0,,,I1,2526
I1,08/12/2025,17:00,Udinese,Genoa,1,2,A,0,1,A,,23,12,6,6,6,2,1,0,0,0,,,I1,2526
I1,08/12/2025,19:45,Torino,Milan,2,3,A,2,1,H,,8,17,4,6,2,4,2,1,0,0,,,I1,2526
I1,12/12/2025,19:45,Lecce,Pisa,1,0,H,0,0,D,,21,5,3,0,12,1,2,1,0,0,,,I1,2526
I1,13/12/2025,14:00,Torino,Cremonese,1,0,H,1,0,H,,18,10,6,3,6,6,1,2,0,0,,,I1,2526
I1,13/12/2025,17:00,Parma,Lazio,0,1,A,0,0,D,,19,15,5,5,4,4,2,1,0,2,,,I1,2526
I1,13/12/2025,19:45,Atalanta,Cagliari,2,1,H,1,0,H,,17,8,8,1,5,4,1,2,0,0,,,I1,2526
I1,14/12/2025,11:30,Milan,Sassuolo,2,2,D,1,1,D,,13,8,5,3,7,3,1,3,0,0,,,I1,2526
I1,14/12/2025,14:00,Fiorentina,Verona,1,2,A,0,1,A,,20,13,4,3,9,4,1,5,0,0,,,I1,2526
I1,14/12/2025,14:00,Udinese,Napoli,1,0,H,0,0,D,,18,7,5,0,1,3,1,0,0,0,,,I1,2526
I1,14/12/2025,17:00,Genoa,Inter,1,2,A,0,2,A,,5,18,3,8,1,6,2,3,0,0,,,I1,2526
I1,14/12/2025,19:45,Bologna,Juventus,0,1,A,0,0,D,,11,13,4,3,3,4,3,1,1,0,,,I1,2526
I1,15/12/2025,19:45,Roma,Como,1,0,H,0,0,D,,14,13,4,1,6,3,3,3,0,0,,,I1,2526
I1,20/12/2025,17:00,Lazio,Cremonese,0,0,D,0,0,D,,8,9,2,2,3,0,4,3,0,1,,,I1,2526
I1,20/12/2025,19:45,Juventus,Roma,2,1,H,1,0,H,,13,14,9,5,2,4,2,3,0,0,,,I1,2526
I1,21/12/2025,11:30,Cagliari,Pisa,2,2,D,0,1,A,,14,15,5,3,2,6,3,2,0,0,,,I1,2526
I1,21/12/2025,14:00,Sassuolo,Torino,0,1,A,0,0,D,,7,10,1,5,2,3,3,1,0,0,,,I1,2526
I1,21/12/2025,17:00,Fiorentina,Udinese,5,1,H,3,0,H,,20,11,7,4,1,4,3,1,0,1,,,I1,2526
I1,21/12/2025,19:45,Genoa,Atalanta,0,1,A,0,0,D,,6,16,3,4,6,10,1,2,1,0,,,I1,2526
I1,27/12/2025,11:30,Parma,Fiorentina,1,0,H,0,0,D,,13,23,2,4,5,6,2,2,0,0,,,I1,2526
I1,27/12/2025,14:00,Lecce,Como,0,3,A,0,1,A,,11,12,5,6,4,6,2,4,0,0,,,I1,2526
I1,27/12/2025,14:00,Torino,Cagliari,1,2,A,1,1,D,,19,9,10,4,6,2,3,0,0,0,,,I1,2526
I1,27/12/2025,17:00,Udinese,Lazio,1,1,D,0,0,D,,15,14,4,2,5,6,3,4,0,0,,,I1,2526
I1,27/12/2025,19:45,Pisa,Juventus,0,2,A,0,0,D,,8,15,0,7,2,8,4,1,0,0,,,I1,2526
I1,28/12/2025,11:30,Milan,Verona,3,0,H,1,0,H,,11,9,5,1,7,3,0,1,0,0,,,I1,2526
I1,28/12/2025,14:00,Cremonese,Napoli,0,2,A,0,2,A,,6,22,2,8,1,10,2,2,0,0,,,I1,2526
I1,28/12/2025,17:00,Bologna,Sassuolo,1,1,D,0,0,D,,16,8,6,5,2,3,2,3,0,0,,,I1,2526
I1,28/12/2025,19:45,Atalanta,Inter,0,1,A,0,0,D,,7,15,0,4,4,7,2,1,0,0,,,I1,2526
I1,29/12/2025,19:45,Roma,Genoa,3,1,H,3,0,H,,16,10,8,2,6,1,0,1,0,0,,,I1,2526
I1,02/01/2026,19:45,Cagliari,Milan,0,1,A,0,0,D,,6,11,1,4,6,7,2,1,0,0,,,I1,2526
I1,03/01/2026,11:30,Como,Udinese,1,0,H,1,0,H,,15,4,3,1,3,2,1,3,0,0,,,I1,2526
I1,03/01/2026,14:00,Genoa,Pisa,1,1,D,1,1,D,,12,10,4,2,2,7,1,3,0,0,,,I1,2526
