Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
F1,27/09/2025,18:00,Toulouse,Nantes,2,2,D,0,1,A,,20,12,7,2,1,4,2,3,0,0,,,F1,2526
F1,27/09/2025,20:05,Paris SG,Auxerre,2,0,H,1,0,H,,15,12,8,3,5,5,1,2,0,0,,,F1,2526
F1,28/09/2025,14:00,Nice,Paris FC,1,1,D,1,0,H,,11,13,5,3,5,5,1,1,0,0,,,F1,2526
F1,28/09/2025,16:15,Angers,Brest,0,2,A,0,2,A,,11,7,2,3,11,4,1,1,0,0,,,F1,2526
F1,28/09/2025,16:15,Lille,Lyon,0,1,A,0,1,A,,14,5,3,2,3,4,4,4,1,0,,,F1,2526
F1,28/09/2025,16:15,Metz,Le Havre,0,0,D,0,0,D,,7,11,0,2,4,6,2,2,0,0,,,F1,2526
F1,28/09/2025,19:45,Rennes,Lens,0,0,D,0,0,D,,14,13,2,2,8,4,3,2,0,1,,,F1,2526
F1,03/10/2025,19:45,Paris FC,Lorient,2,0,H,2,0,H,,10,8,2,3,1,5,0,2,0,0,,,F1,2526
F1,04/10/2025,16:00,Metz,Marseille,0,3,A,0,0,D,,4,21,1,9,4,4,0,0,0,0,,,F1,2526
F1,04/10/2025,18:00,Brest,Nantes,0,0,D,0,0,D,,17,6,5,0,12,3,2,1,0,0,,,F1,2526
F1,04/10/2025,20:05,Auxerre,Lens,1,2,A,0,1,A,,18,7,2,4,2,2,3,7,0,1,,,F1,2526
F1,05/10/2025,14:00,Lyon,Toulouse,1,2,A,1,0,H,,13,14,3,4,8,5,1,3,0,0,,,F1,2526
F1,05/10/2025,16:15,Le Havre,Rennes,2,2,D,1,2,A,,10,9,2,3,3,4,1,2,0,0,,,F1,2526
F1,05/10/2025,16:15,Monaco,Nice,2,2,D,1,2,A,,20,9,6,2,6,7,1,3,0,1,,,F1,2526
F1,05/10/2025,16:15,Strasbourg,Angers,5,0,H,1,0,H,,18,5,12,1,2,5,2,2,0,0,,,F1,2526
F1,05/10/2025,19:45,Lille,Paris SG,1,1,D,0,0,D,,9,17,3,5,3,5,1,1,0,0,,,F1,2526
F1,17/10/2025,19:45,Paris SG,Strasbourg,3,3,D,1,2,A,,21,12,9,7,4,1,2,1,0,0,,,F1,2526
F1,18/10/2025,16:00,Nice,Lyon,3,2,H,2,1,H,,5,29,4,7,1,16,1,2,0,0,,,F1,2526
F1,18/10/2025,18:00,Angers,Monaco,1,1,D,0,0,D,,16,11,3,4,10,3,2,2,0,0,,,F1,2526
F1,18/10/2025,20:05,Marseille,Le Havre,6,2,H,1,1,D,,18,8,11,3,2,1,2,1,0,1,,,F1,2526
F1,19/10/2025,14:00,Lens,Paris FC,2,1,H,1,1,D,,11,9,3,3,11,3,2,2,0,0,,,F1,2526
F1,19/10/2025,16:15,Lorient,Brest,3,3,D,1,2,A,,12,8,7,4,5,2,3,2,0,0,,,F1,2526
F1,19/10/2025,16:15,Rennes,Auxerre,2,2,D,1,1,D,,19,7,7,4,6,2,1,3,0,0,,,F1,2526
F1,19/10/2025,16:15,Toulouse,Metz,4,0,H,2,0,H,,16,2,7,2,5,1,2,1,0,1,,,F1,2526
F1,19/10/2025,19:45,Nantes,Lille,0,2,A,0,1,A,,8,23,3,5,5,9,1,4,0,0,,,F1,2526
F1,24/10/2025,19:45,Paris FC,Nantes,1,2,A,1,2,A,,14,11,3,3,8,2,3,2,0,0,,,F1,2526
F1,25/10/2025,16:00,Brest,Paris SG,0,3,A,0,2,A,,8,18,2,8,2,7,1,1,0,0,,,F1,2526
F1,25/10/2025,18:00,Monaco,Toulouse,1,0,H,1,0,H,,14,10,5,2,2,5,3,4,0,0,,,F1,2526
F1,25/10/2025,20:05,Lens,Marseille,2,1,H,1,1,D,,8,17,5,3,4,8,3,2,0,0,,,F1,2526
F1,26/10/2025,14:00,Lille,Metz,6,1,H,2,0,H,,23,10,12,4,7,8,3,2,0,0,,,F1,2526
