Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
SC0,05/10/2025,15:00,Falkirk,Rangers,1,1,D,0,1,A,M MacDermid,16,11,4,2,7,6,1,4,0,0,,,SC0,2526
SC0,18/10/2025,15:00,Hibernian,Livingston,4,0,H,1,0,H,R Lee,23,8,12,2,7,10,1,2,0,0,,,SC0,2526
SC0,18/10/2025,15:00,Motherwell,Falkirk,1,2,A,1,0,H,S McLean,15,9,5,5,6,4,1,5,0,0,,,SC0,2526
SC0,18/10/2025,15:00,Rangers,Dundee United,2,2,D,1,0,H,D Robertson,29,10,8,4,7,2,0,4,0,0,,,SC0,2526
SC0,18/10/2025,15:00,St Mirren,Aberdeen,0,1,A,0,0,D,L Wilson,9,17,1,4,5,2,2,4,0,0,,,SC0,2526
SC0,18/10/2025,17:45,Kilmarnock,Hearts,0,3,A,0,1,A,R Hardie,7,19,2,5,4,5,2,2,0,0,,,SC0,2526
SC0,19/10/2025,12:00,Dundee,Celtic,2,0,H,2,0,H,M MacDermid,10,23,2,3,2,12,2,2,0,0,,,SC0,2526
SC0,25/10/2025,15:00,Dundee United,St Mirren,3,1,H,1,1,D,J Beaton,13,23,5,3,4,12,1,1,0,1,,,SC0,2526
SC0,25/10/2025,15:00,Falkirk,Dundee,2,1,H,0,1,A,R Hardie,12,13,5,3,5,3,2,2,0,0,,,SC0,2526
SC0,25/10/2025,15:00,Livingston,Motherwell,1,2,A,1,0,H,N Walsh,11,15,4,2,0,3,2,2,0,0,,,SC0,2526
SC0,26/10/2025,12:00,Hearts,Celtic,3,1,H,1,1,D,S McLean,12,8,7,2,5,9,4,1,0,0,,,SC0,2526
SC0,26/10/2025,14:30,Aberdeen,Hibernian,1,2,A,0,1,A,D Robertson,16,19,5,6,6,3,0,2,0,0,,,SC0,2526
SC0,26/10/2025,15:00,Rangers,Kilmarnock,3,1,H,1,1,D,K Clancy,13,7,6,3,9,2,1,2,0,0,,,SC0,2526
SC0,29/10/2025,19:45,Celtic,Falkirk,4,0,H,2,0,H,R Lee,26,8,11,4,6,3,1,2,0,0,,,SC0,2526
SC0,29/10/2025,19:45,Hibernian,Rangers,0,1,A,0,1,A,J Beaton,7,7,4,3,5,4,2,3,0,0,,,SC0,2526
SC0,29/10/2025,19:45,Kilmarnock,Aberdeen,0,1,A,0,1,A,D Nicolson,14,6,4,3,7,2,4,6,0,0,,,SC0,2526
SC0,29/10/2025,19:45,Motherwell,Dundee United,2,0,H,1,0,H,C Graham,10,9,5,1,4,2,1,2,0,0,,,SC0,2526
SC0,29/10/2025,19:45,St Mirren,Hearts,2,2,D,1,1,D,M MacDermid,12,20,6,8,6,7,2,2,0,0,,,SC0,2526
SC0,01/11/2025,15:00,Falkirk,Kilmarnock,3,1,H,3,0,H,D Dickinson,12,9,7,5,2,6,0,1,0,0,,,SC0,2526
SC0,01/11/2025,15:00,Hearts,Dundee,4,0,H,2,0,H,K Clancy,17,5,10,0,6,2,0,2,0,0,,,SC0,2526
SC0,01/11/2025,15:00,Livingston,Hibernian,2,2,D,1,1,D,C Scott,10,7,5,5,6,1,2,1,0,0,,,SC0,2526
SC0,08/11/2025,15:00,Falkirk,Livingston,1,1,D,1,0,H,G Irvine,12,11,2,5,6,1,3,2,0,0,,,SC0,2526
SC0,08/11/2025,17:45,St Mirren,Hibernian,0,3,A,0,1,A,D Dickinson,9,15,4,5,5,6,4,1,0,0,,,SC0,2526
SC0,09/11/2025,15:00,Aberdeen,Motherwell,1,1,D,0,0,D,S McLean,6,10,2,3,4,6,3,1,0,0,,,SC0,2526
SC0,09/11/2025,15:00,Dundee,Rangers,0,3,A,0,2,A,M MacDermid,10,15,5,10,4,6,0,1,0,0,,,SC0,2526
SC0,09/11/2025,15:00,Hearts,Dundee United,1,1,D,1,1,D,J Beaton,11,7,2,3,4,3,2,4,0,0,,,SC0,2526
SC0,09/11/2025,16:00,Celtic,Kilmarnock,4,0,H,1,0,H,D Robertson,21,3,7,1,8,7,2,2,0,0,,,SC0,2526
SC0,22/11/2025,15:00,Dundee United,Falkirk,0,3,A,0,2,A,N Walsh,13,16,5,4,5,5,3,3,0,0,,,SC0,2526
SC0,22/11/2025,15:00,Hibernian,Dundee,2,0,H,1,0,H,S McLean,17,7,5,4,8,3,2,1,0,0,,,SC0,2526
SC0,22/11/2025,15:00,Kilmarnock,Motherwell,1,3,A,0,2,A,R Lee,18,12,6,5,3,3,1,5,0,0,,,SC0,2526
SC0,22/11/2025,15:00,Rangers,Livingston,2,1,H,1,1,D,R Hardie,9,9,2,2,2,1,2,4,0,0,,,SC0,2526
SC0,22/11/2025,20:00,St Mirren,Celtic,0,1,A,0,0,D,K Clancy,13,16,2,2,2,4,2,1,0,0,,,SC0,2526
SC0,23/11/2025,15:00,Aberdeen,Hearts,1,0,H,1,0,H,D Dickinson,6,16,2,4,6,3,3,4,0,0,,,SC0,2526
SC0,25/11/2025,19:45,Motherwell,Hibernian,2,0,H,2,0,H,D Nicolson,16,2,5,1,0,2,0,1,0,1,,,SC0,2526
SC0,29/11/2025,15:00,Dundee,St Mirren,3,1,H,2,1,H,J Beaton,8,19,4,3,1,11,0,2,0,0,,,SC0,2526
SC0,29/11/2025,15:00,Motherwell,Hearts,0,0,D,0,0,D,K Clancy,9,9,5,1,3,4,2,4,0,0,,,SC0,2526
SC0,29/11/2025,17:45,Kilmarnock,Dundee United,1,1,D,1,0,H,M MacDermid,11,11,3,3,3,3,3,2,0,0,,,SC0,2526
