Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,League,Season
E2,01/08/2025,20:00,Luton,AFC Wimbledon,1,0,H,0,0,D,T Parsons,6,2,1,0,5,2,1,1,0,0,E2,2526
E2,02/08/2025,12:30,Cardiff,Peterboro,2,1,H,0,1,A,B Speedie,17,7,6,3,4,2,3,1,0,0,E2,2526
E2,02/08/2025,15:00,Blackpool,Stevenage,2,3,A,1,2,A,M Corlett,8,7,2,4,2,2,1,4,0,0,E2,2526
E2,02/08/2025,15:00,Bradford,Wycombe,2,1,H,2,0,H,S Stockbridge,12,11,6,3,2,6,3,4,0,0,E2,2526
E2,02/08/2025,15:00,Burton,Mansfield,2,1,H,1,0,H,E Duckworth,12,12,4,3,1,7,2,2,0,0,E2,2526
E2,02/08/2025,15:00,Doncaster,Exeter,1,0,H,0,0,D,R Joyce,16,2,3,0,7,1,0,0,0,0,E2,2526
E2,02/08/2025,15:00,Huddersfield,Leyton Orient,3,0,H,1,0,H,S Mather,13,14,8,3,6,3,3,0,0,0,E2,2526
E2,02/08/2025,15:00,Lincoln,Reading,2,0,H,1,0,H,M Woods,6,9,2,2,3,9,1,0,0,0,E2,2526
E2,02/08/2025,15:00,Plymouth,Barnsley,1,3,A,0,2,A,D Bourne,15,12,3,7,9,5,2,3,0,1,E2,2526
E2,02/08/2025,15:00,Rotherham,Port Vale,2,1,H,2,0,H,J Miles,12,19,4,4,6,3,1,1,1,1,E2,2526
E2,02/08/2025,15:00,Wigan,Northampton,3,1,H,2,0,H,A Chilowicz,20,7,8,4,9,3,0,2,0,0,E2,2526
E2,03/08/2025,12:00,Stockport,Bolton,2,0,H,1,0,H,E Bell,5,15,2,2,9,7,2,1,0,0,E2,2526
E2,07/08/2025,20:00,Port Vale,Cardiff,0,0,D,0,0,D,T Reeves,16,9,1,1,5,4,3,1,0,0,E2,2526
E2,09/08/2025,12:30,Peterboro,Luton,0,2,A,0,0,D,S Oldham,6,8,2,3,3,6,2,2,0,0,E2,2526
